label,species,area,area_bbox,area_convex,area_filled,axis_major_length,axis_minor_length,eccentricity,equivalent_diameter_area,extent,orientation,perimeter,solidity,elongation
1,Horse_chesnut,919189.0,4523139.0,1141556.0,947252.0,3148.579418226904,425.1971703090967,0.9908395847853768,1081.8261338521868,0.203219268742349,0.8911657892954544,15064.479066835018,0.8052071032870923,7.4049867639948
2,Scot_pine,19029.0,44719.0,21644.0,19029.0,276.4752397320317,97.87046350396126,0.9352478474045208,155.65498802404443,0.4255238265614168,0.9293670523693432,697.0092347159894,0.8791812973572353,2.8249098842864018
3,Scot_pine,427.0,814.0,512.0,427.0,30.11028113514637,19.368261389035045,0.7656611508545895,23.31680264534386,0.5245700245700246,1.329095389513562,90.976659402887,0.833984375,1.554619721943277
4,Scot_pine,57519.0,647680.0,90481.0,57519.0,1279.624257936371,72.8814161501737,0.9983767279415404,270.62051912894896,0.0888077445652174,0.8696907234476069,3034.1201999846435,0.6357025231816624,17.55762066011009
5,Oak,193.0,513.0,309.0,193.0,24.45648481960301,13.797289425799264,0.8256677501868289,15.67594437773643,0.3762183235867446,-1.5156501250105745,77.45584412271572,0.6245954692556634,1.7725572077854894
6,Oak,224.0,462.0,260.0,224.0,19.30142458470177,16.163722176940396,0.5465342607946133,16.88803298257901,0.4848484848484848,0.7259077278397265,62.25483399593904,0.8615384615384616,1.1941200407563122
7,Scot_pine,31705.0,177650.0,48959.0,32196.0,631.3536407182078,80.93372282321846,0.9917495253409172,200.91804240990487,0.1784688995215311,0.9047455661638591,1968.5647173503164,0.6475826712146898,7.800872352026336
8,Scot_pine,583.0,1014.0,680.0,583.0,32.45732504323492,25.2218106428595,0.6294066879001693,27.245158369526862,0.5749506903353058,-1.5330314335991382,111.25483399593904,0.8573529411764705,1.286875296259662
9,Scot_pine,359.0,608.0,474.0,359.0,37.83899378729234,15.292731727664416,0.9146915274089804,21.37973331358283,0.5904605263157895,1.4171607301505929,105.42640687119284,0.7573839662447257,2.474312272073794
10,Oak,114.0,162.0,139.0,114.0,30.296026013828165,5.523724662471334,0.9832383097086352,12.047792665040705,0.7037037037037037,1.5299470040701153,58.38477631085024,0.8201438848920863,5.484709659708783
11,Scot_pine,156.0,360.0,199.0,156.0,25.44805409246948,9.229314050583,0.9319165870007156,14.093451279891855,0.4333333333333333,0.8439646917661052,59.698484809834994,0.7839195979899497,2.757307201054878
12,Scot_pine,283.0,460.0,322.0,283.0,20.81355134744721,19.080448639384997,0.399502731706619,18.982275710779543,0.6152173913043478,-0.469258461335943,69.698484809835,0.8788819875776398,1.0908313394940212
